par_cz,kid_race,par_pctile,shrunk_xkid_mtabalance2020,cz_name
26002,Asian,25,88326.66666666667,Duluth
26002,Pooled,75,105931.5933333333,Duluth
26002,White,75,106870.4753114905,Duluth
26002,Black,25,34234.57142857143,Duluth
26002,Black,50,52434.35467980296,Duluth
26002,White,-9,90282.16208393633,Duluth
26002,Pooled,50,82998.31800379328,Duluth
26002,White,25,62373.09782608696,Duluth
26002,AIAN,25,13760.78947368421,Duluth
26002,Asian,50,101492.3809523809,Duluth
26002,Pooled,-9,88292.54239606127,Duluth
26002,Hispanic,-9,66110.48076923077,Duluth
26002,Hispanic,25,44766.66666666666,Duluth
26002,Asian,75,114658.0952380952,Duluth
26002,Pooled,25,60065.0426742532,Duluth
26002,Black,-9,50728.125,Duluth
26002,Hispanic,50,65707.76729559748,Duluth
26002,Asian,-9,102505.1282051282,Duluth
26002,Black,75,70634.13793103448,Duluth
26002,AIAN,-9,23255.38461538462,Duluth
26002,AIAN,50,31393.60902255639,Duluth
26002,AIAN,75,49026.42857142857,Duluth
26003,White,25,83680,West Cook UT
26003,White,50,98190,West Cook UT
26003,Pooled,-9,70641.73913043478,West Cook UT
26003,White,-9,99157.33333333333,West Cook UT
26003,AIAN,50,17175,West Cook UT
26003,Pooled,25,59909.09090909091,West Cook UT
26003,AIAN,-9,17175,West Cook UT
26003,Pooled,75,80480,West Cook UT
26003,AIAN,25,18310,West Cook UT
26003,White,75,112700,West Cook UT
26003,Pooled,50,70194.54545454546,West Cook UT
26003,AIAN,75,16040,West Cook UT
26004,White,25,53290,International Falls
26004,White,50,73055,International Falls
26004,Hispanic,25,49610,International Falls
26004,Pooled,50,70002.09570957096,International Falls
26004,AIAN,75,30640,International Falls
26004,Hispanic,-9,58970,International Falls
26004,Pooled,75,89387.52475247525,International Falls
26004,AIAN,25,12860,International Falls
26004,Pooled,-9,74064.91017964072,International Falls
26004,AIAN,-9,21750,International Falls
26004,Hispanic,75,68330,International Falls
26004,White,75,92820,International Falls
26004,White,-9,77636.29139072848,International Falls
26004,Hispanic,50,58970,International Falls
26004,Pooled,25,50616.66666666666,International Falls
26004,AIAN,50,21750,International Falls
26101,Black,75,28717.33333333333,Moberly
26101,Pooled,50,66891.91772916752,Moberly
26101,Pooled,-9,63941.47096774194,Moberly
26101,Asian,25,59830,Moberly
26101,Hispanic,75,82816.66666666667,Moberly
26101,Hispanic,50,63378.33333333334,Moberly
26101,Pooled,25,45521.85941043084,Moberly
26101,Hispanic,25,43940,Moberly
26101,White,-9,65917.28045325779,Moberly
26101,Black,50,24979.57575757576,Moberly
26101,Pooled,75,88261.97604790419,Moberly
26101,Black,25,21241.81818181818,Moberly
26101,Asian,75,89640,Moberly
26101,Black,-9,24272.43243243243,Moberly
26101,Hispanic,-9,63378.33333333334,Moberly
26101,White,50,69079.80083368139,Moberly
26101,White,75,91407.19471947195,Moberly
26101,Asian,-9,74735,Moberly
26101,Asian,50,74735,Moberly
26101,White,25,46752.40694789082,Moberly
26102,Hispanic,75,74586.15384615384,Marshall
26102,Black,50,27763.30434782609,Marshall
26102,Asian,25,75070,Marshall
26102,Black,25,15864.60869565217,Marshall
26102,Pooled,-9,61106.48617176128,Marshall
26102,Pooled,75,85929.17525773196,Marshall
26102,Pooled,25,42865.57070707071,Marshall
26102,Hispanic,25,31472,Marshall
26102,Pooled,50,64397.37298240133,Marshall
26102,Black,-9,25258.31578947368,Marshall
26102,Asian,50,93835,Marshall
26102,White,-9,63340.88091353996,Marshall
26102,Hispanic,50,53029.07692307692,Marshall
26102,Asian,-9,93835,Marshall
26102,White,25,44738.75706214689,Marshall
26102,Black,75,39662,Marshall
26102,White,50,66752.46733416224,Marshall
26102,Hispanic,-9,51489.28571428572,Marshall
26102,White,75,88766.1776061776,Marshall
26102,Asian,75,112600,Marshall
26103,Pooled,25,45205.67567567567,Brookfield
26103,Hispanic,75,53710,Brookfield
26103,White,50,68648.62858902682,Brookfield
26103,White,-9,64879.93220338983,Brookfield
26103,Black,25,16950,Brookfield
26103,Pooled,75,86764.25373134328,Brookfield
26103,Black,50,32032.5,Brookfield
26103,Hispanic,50,42170,Brookfield
26103,White,75,90447.95081967213,Brookfield
26103,Black,75,47115,Brookfield
26103,Pooled,-9,62662.88401253919,Brookfield
26103,Black,-9,32032.5,Brookfield
26103,White,25,46849.3063583815,Brookfield
26103,Hispanic,25,30630,Brookfield
26103,Pooled,50,65984.96470350948,Brookfield
26103,Hispanic,-9,42170,Brookfield
26104,Pooled,25,38828.15533980582,Trenton
26104,Hispanic,75,50350,Trenton
26104,White,75,71967.88732394367,Trenton
26104,Hispanic,-9,39180,Trenton
26104,Pooled,75,70814.93333333333,Trenton
26104,Hispanic,25,28010,Trenton
26104,Pooled,-9,52305.73033707865,Trenton
26104,Pooled,50,54821.54433656958,Trenton
26104,White,25,39265.25252525252,Trenton
26104,Hispanic,50,39180,Trenton
26104,White,-9,52923.41176470588,Trenton
26104,White,50,55616.56992459809,Trenton
26105,Pooled,-9,56395.85365853659,Polk
26105,Hispanic,50,50585,Polk
26105,Pooled,75,86725.88235294117,Polk
26105,White,25,45273.52941176471,Polk
26105,Hispanic,25,34940,Polk
26105,Hispanic,75,66230,Polk
26105,Pooled,50,65767.49173826835,Polk
26105,White,75,89458.66666666667,Polk
26105,Pooled,25,44809.10112359551,Polk
26105,Hispanic,-9,50585,Polk
26105,White,-9,56800.08695652174,Polk
26105,White,50,67366.09803921569,Polk
26106,Pooled,75,101059.8159509203,Centerville
26106,Hispanic,50,76168.33333333333,Centerville
26106,White,50,76999.33656575214,Centerville
26106,Hispanic,75,102103.3333333333,Centerville
26106,Hispanic,25,50233.33333333334,Centerville
26106,Pooled,50,76960.36470622936,Centerville
26106,White,25,53021.78571428572,Centerville
26106,White,75,100976.8874172185,Centerville
26106,White,-9,73889.85590778098,Centerville
26106,Pooled,25,52860.91346153846,Centerville
26106,Pooled,-9,74037.25067385445,Centerville
26106,Hispanic,-9,76168.33333333333,Centerville
26107,Pooled,25,47242.32815964524,Kirksville
26107,Pooled,50,68228.49984624598,Kirksville
26107,White,75,89087.62273901809,Kirksville
26107,Black,25,30060,Kirksville
26107,Asian,25,128800,Kirksville
26107,Black,75,52400,Kirksville
26107,White,25,45875.33957845433,Kirksville
26107,Hispanic,75,79790,Kirksville
26107,Hispanic,25,55830,Kirksville
26107,Pooled,75,89214.67153284671,Kirksville
